"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
1,"2018-01-14T00:00:00Z",36630,"3B","T",1330,1630,"Dm","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",42630,"DP","P",1700,1930,"EM","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",36190,"4B","F",2100,2100,"","2018-01-13T08:43:20Z"
1,"2018-01-14T00:00:00Z",25810,"4C","F",2400,2400,"","2018-01-13T08:43:20Z"
1,"2018-01-15T00:00:00Z",26150,"1F","F",30,30,"","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",26570,"1A","P",100,230,"","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",25120,"03","F",300,300,"","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",23950,"1B","T",430,730,"Om","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",40080,"2F","P",800,900,"","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",40910,"2A","P",930,1030,"DM","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",40720,"2B","P",1100,1300,"","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",40750,"3B","T",1330,1630,"Dm","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",47740,"DP","P",1700,1930,"EM","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",40150,"4B","F",2100,2100,"","2018-01-14T08:24:21Z"
1,"2018-01-15T00:00:00Z",27700,"4C","F",2400,2400,"","2018-01-14T08:24:21Z"
1,"2018-01-16T00:00:00Z",27400,"1F","F",30,30,"","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",27720,"1A","P",100,230,"","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",26450,"03","F",300,300,"","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",25120,"1B","T",430,730,"Om","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",40020,"2F","P",800,900,"","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",40880,"2A","P",930,1030,"DM","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",40130,"2B","P",1100,1300,"","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",40290,"3B","T",1330,1630,"Dm","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",47460,"DP","P",1700,1930,"EM","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",40490,"4B","F",2100,2100,"","2018-01-15T08:58:58Z"
1,"2018-01-16T00:00:00Z",27710,"4C","F",2400,2400,"","2018-01-15T08:58:58Z"
1,"2018-01-17T00:00:00Z",27320,"1F","F",30,30,"","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",27510,"1A","P",100,230,"","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",26910,"03","F",300,300,"","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",25710,"1B","T",430,730,"Om","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",40170,"2F","P",800,900,"","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",40840,"2A","P",930,1030,"DM","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",40130,"2B","P",1100,1300,"","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",39390,"3B","T",1330,1630,"Dm","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",46530,"DP","P",1700,1930,"EM","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",40740,"4B","F",2100,2100,"","2018-01-16T08:36:22Z"
1,"2018-01-17T00:00:00Z",27560,"4C","F",2400,2400,"","2018-01-16T08:36:22Z"
1,"2018-01-18T00:00:00Z",29230,"1F","F",30,30,"","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",29630,"1A","P",100,230,"","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",27010,"03","F",300,300,"","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",25930,"1B","T",430,730,"Om","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",41440,"2F","P",800,900,"","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",42060,"2A","P",930,1030,"DM","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",41300,"2B","P",1100,1300,"","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",40680,"3B","T",1330,1630,"Dm","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",46700,"DP","P",1700,1930,"EM","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",40540,"4B","F",2100,2100,"","2018-01-17T08:47:26Z"
1,"2018-01-18T00:00:00Z",28490,"4C","F",2400,2400,"","2018-01-17T08:47:26Z"
1,"2018-01-19T00:00:00Z",29150,"1F","F",30,30,"","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",29490,"1A","P",100,230,"","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",28500,"03","F",300,300,"","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",27240,"1B","T",430,730,"Om","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",42610,"2F","P",800,900,"","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",42820,"2A","P",930,1030,"DM","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",41630,"2B","P",1100,1300,"","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",40350,"3B","T",1330,1630,"Dm","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",46490,"DP","P",1700,1930,"EM","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",39170,"4B","F",2100,2100,"","2018-01-18T08:47:18Z"
1,"2018-01-19T00:00:00Z",28690,"4C","F",2400,2400,"","2018-01-18T08:47:18Z"
1,"2018-01-20T00:00:00Z",29460,"1F","F",30,30,"","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",30530,"1A","P",100,230,"","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",28310,"03","F",300,300,"","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",26920,"1B","T",430,730,"Om","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",36900,"2F","P",800,900,"","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",39560,"2A","P",930,1030,"DM","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",39320,"2B","P",1100,1300,"","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",38000,"3B","T",1330,1630,"Dm","2018-01-19T08:29:18Z"
1,"2018-01-20T00:00:00Z",44440,"DP","P",1700,1930,"EM","2018-01-19T08:29:18Z"
